source	target	type	database
5-(2'-Formylethyl)-4,6-dihydroxypicolinate	rn:R04916	k_compound:irreversible	kegg
rn:R04916	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate	k_compound:irreversible	kegg
5-(2'-Formylethyl)-4,6-dihydroxypicolinate	rn:R04917	k_compound:irreversible	kegg
rn:R04917	5-(2'-Carboxyethyl)-4,6-dihydroxypicolinate	k_compound:irreversible	kegg
5-Hydroxyindoleacetate	rn:R04906	k_compound:irreversible	kegg
rn:R04906	5-Hydroxyindoleacetylglycine	k_compound:irreversible	kegg
3-Hydroxy-L-kynurenine	rn:R04172	k_compound:irreversible	kegg
rn:R04172	3-Hydroxykynurenamine	k_compound:irreversible	kegg
3-Hydroxyanthranilate	rn:R02671	k_compound:irreversible	kegg
rn:R02671	3-Methoxyanthranilate	k_compound:irreversible	kegg
Xanthurenic-acid	rn:R03955	k_compound:irreversible	kegg
rn:R03955	8-Methoxykynurenate	k_compound:irreversible	kegg
Tryptamine	rn:R02173	k_compound:irreversible	kegg
rn:R02173	Indole-3-acetaldehyde	k_compound:irreversible	kegg
3-Indoleacetonitrile	rn:R04020	k_compound:irreversible	kegg
rn:R04020	(Indol-3-yl)acetamide	k_compound:irreversible	kegg
(Indol-3-yl)acetamide	rn:R03096	k_compound:irreversible	kegg
rn:R03096	Indole-3-acetate	k_compound:irreversible	kegg
3-Indoleacetonitrile	rn:R03093	k_compound:irreversible	kegg
rn:R03093	Indole-3-acetate	k_compound:irreversible	kegg
Glucobrassicin	rn:R04094	k_compound:irreversible	kegg
rn:R04094	3-Indoleacetonitrile	k_compound:irreversible	kegg
Indole-3-acetaldehyde	rn:R02679	k_compound:irreversible	kegg
rn:R02679	Indole-3-ethanol	k_compound:irreversible	kegg
Indole-3-acetaldehyde	rn:R02680	k_compound:irreversible	kegg
rn:R02680	Indole-3-ethanol	k_compound:irreversible	kegg
Serotonin	rn:R02910	k_compound:irreversible	kegg
rn:R02910	N-Methylserotonin	k_compound:irreversible	kegg
Tryptamine	rn:R02174	k_compound:irreversible	kegg
rn:R02174	N-Methyltryptamine	k_compound:irreversible	kegg
2-Aminomuconate	rn:R03887	k_compound:irreversible	kegg
rn:R03887	gamma-Oxalocrotonate	k_compound:irreversible	kegg
Indole-3-acetate	rn:R03092	k_compound:irreversible	kegg
rn:R03092	3-Methyldioxyindole	k_compound:irreversible	kegg
2-Formaminobenzoylacetate	rn:R00991	k_compound:irreversible	kegg
rn:R00991	Anthranilate	k_compound:irreversible	kegg
2-Amino-3-carboxymuconate-semialdehyde	rn:R04293	k_compound:irreversible	kegg
rn:R04293	Quinolinate	k_compound:irreversible	kegg
Tryptamine	rn:R08604	k_compound:irreversible	kegg
rn:R08604	N-Hydroxyl-tryptamine	k_compound:irreversible	kegg
Indole-3-acetaldehyde-oxime	rn:R08168	k_compound:irreversible	kegg
rn:R08168	S-(Indolylmethylthiohydroximoyl)-L-cysteine	k_compound:irreversible	kegg
S-(Indolylmethylthiohydroximoyl)-L-cysteine	rn:R08170	k_compound:irreversible	kegg
rn:R08170	Indolylmethylthiohydroximate	k_compound:irreversible	kegg
Indole-3-acetaldehyde-oxime	rn:R04093	k_compound:irreversible	kegg
rn:R04093	3-Indoleacetonitrile	k_compound:irreversible	kegg
L-Tryptophan	rn:R08160	k_compound:irreversible	kegg
rn:R08160	Indole-3-acetaldehyde-oxime	k_compound:irreversible	kegg
Indolylmethyl-desulfoglucosinolate	rn:R08167	k_compound:irreversible	kegg
rn:R08167	Glucobrassicin	k_compound:irreversible	kegg
Indolylmethylthiohydroximate	rn:R08164	k_compound:irreversible	kegg
rn:R08164	Indolylmethyl-desulfoglucosinolate	k_compound:irreversible	kegg
N-Hydroxyl-tryptamine	rn:R08605	k_compound:irreversible	kegg
rn:R08605	Indole-3-acetaldehyde-oxime	k_compound:irreversible	kegg
Indole-3-acetaldehyde-oxime	rn:R08606	k_compound:irreversible	kegg
rn:R08606	Indole-3-acetaldehyde	k_compound:irreversible	kegg
Indole	rn:R08609	k_compound:irreversible	kegg
rn:R08609	Indole-3-acetate	k_compound:irreversible	kegg
Indole-3-acetate	rn:R03097	k_compound:irreversible	kegg
rn:R03097	2-Formaminobenzoylacetate	k_compound:irreversible	kegg
Indolepyruvate	rn:R10181	k_compound:irreversible	kegg
rn:R10181	Indole-3-acetate	k_compound:irreversible	kegg
L-Tryptophan	rn:R10180	k_compound:irreversible	kegg
rn:R10180	Indolepyruvate	k_compound:irreversible	kegg
Anthranilate	rn:R09517	k_compound:irreversible	kegg
rn:R09517	3-Hydroxyanthranilate	k_compound:irreversible	kegg
2-Aminomuconate-semialdehyde	rn:R11022	k_compound:irreversible	kegg
rn:R11022	Picolinic-acid	k_compound:irreversible	kegg
Indolepyruvate	rn:R12055	k_compound:irreversible	kegg
rn:R12055	L-Tryptophan	k_compound:irreversible	kegg
